id,smarts,ni_ids
107,([#6:1].[#6:2]-[#6:3])>>([#6:2].[#6:1]-[#6:3]),['rule0028']
108,[#16:1].[#6:2]-[#16+:3]>>[#16+0:3].[#6:2]-[#16:1],['rule0200']
109,[#6:1]-[#6:2]=[#8:3]>>[#6:1]#[#6:2].[#8:3],['rule0798']
110,[#6:1]1:[#6:2]:[#6:3]:[#6:4]:[#6:5]:[#6:6]:1.[#6:7]1=[#6:8]-[#7:9]-[#6:10]=[#6:11]-[#6:12]-1.[#6:13]=[#8:14]>>[#6:11]1:[#6:12]:[#6:7]:[#6:8]:[#7+:9]:[#6:10]:1.[#8:14]-[#6:13]-[#6:1]1-[#6:2]-[#6:3]=[#6:4]-[#6:5]=[#6:6]-1,['rule0330']
111,[#6:1]-[#8:2].[#8:3]>>([#6:1].[#8:2]-[#8:3]),['rule0671']
112,[#6:1]-[#6:2]-[#6:3]-[#6:4]-[#6:5]-[#6:6]-[#6:7]-[#6:8]-[#6:9]-[#6:10]-[#8:11]>>([#6:3]=[#6:2].[#6:7]=[#6:6].[#6:10]=[#6:1].[#6:5]=[#6:4].[#6:9]=[#6:8]).[#8:11],['rule0620']
113,[#6:1]=[#6:2]-[#6:3].[#6:4]=[#8:5].[#8:6].[#8:7]-[#15:8]>>[#6:1]-[#6:2](-[#8:7])-[#6:3]-[#6:4]-[#8:5].[#8:6]-[#15:8],['rule0780']
114,[#7:1]-[#6:2]-[#6:3]-[#6:4]-[#8:5].[#8:6]>>[#6:4]-[#6:3](-[#8:5])-[#6:2]-[#8:6].[#7:1],['rule1026']
115,[#6:1]-[#16:2]=[#8:3].[#6:4]1=[#6:5]-[#7:6]-[#6:7]=[#6:8]-[#6:9]-1.[#8:10]=[#8:11]>>[#6:4]1:[#6:9]:[#6:8]:[#6:7]:[#7+:6]:[#6:5]:1.[#6:1]=[#8:10].[#8:11].[#8:3]-[#16:2],['rule0976']
116,[#6:1]1:[#6:2]-[#6:3]-[#7:4]-[#6:5]-[#6:6]-1.[#8:7]=[#8:8].[#8:9]=[#8:10]>>[#6:1]1:[#6:2]:[#6:3]:[#7+:4]:[#6:5]:[#6:6]:1.[#8:10]-[#8:9].[#8:7]-[#8:8],['rule0676']
117,[#6:1]=[#7:2].[#8:3]>>[#6:1]=[#8:3].[#7:2],"['rule0161', 'rule0321']"
118,[#6:1]-[#8:2].[#8:3]=[#8:4]>>[#6:1]=[#8:2].[#8:3]-[#8:4],['rule0074']
119,([#8:1].[#6:2]-[#8:3])>>([#8:3].[#6:2]-[#8:1]),['rule0130']
120,([#6:1].[#8:2]-[#8:3])>>[#6:1]-[#8:2].[#8:3],['rule0672']
